S1,S2,S3,Weight
0,1,19,-0.9880251893040295
0,18,19,-0.9996641170410768
18,19,37,-0.8324706916108731
18,36,37,-0.7435908881199217
36,37,55,-0.28380206632637817
36,54,55,-0.183204930714242
54,55,73,0.3438428633026369
54,72,73,0.3951934692180101
72,73,91,0.7955273481733803
72,90,91,0.7955273481733803
90,91,109,0.9861170115889202
90,108,109,0.9739115584244273
108,109,127,0.976686309531283
108,126,127,0.9962587731268501
126,127,145,0.8856674334417151
126,144,145,0.9604719039070566
144,145,163,0.8139926167371255
144,162,163,0.9399105413732364
162,163,181,0.8139926167371255
162,180,181,0.9604719039070566
180,181,199,0.8856674334417151
180,198,199,0.9962587731268501
198,199,217,0.976686309531283
198,216,217,0.9739115584244273
216,217,235,0.9861170115889202
216,234,235,0.7955273481733803
234,235,253,0.7955273481733803
234,252,253,0.3951934692180101
252,253,271,0.3438428633026369
252,270,271,-0.183204930714242
270,271,289,-0.28380206632637817
270,288,289,-0.7435908881199217
288,289,307,-0.8324706916108731
288,306,307,-0.9996641170410768
1,2,19,-0.9780765101158948
2,19,20,-0.7100653425729437
19,20,37,-0.5579179251017381
20,37,38,-0.026850064537320337
37,38,55,0.13281114733993968
38,55,56,0.6349030390711875
55,56,73,0.7195123317004269
56,73,74,0.973911558424427
73,74,91,0.9861170115889198
74,91,92,0.9399105413732366
91,92,109,0.9399105413732366
92,109,110,0.6747189599516226
109,110,127,0.7252611098245162
110,127,128,0.366405412353485
127,128,145,0.500065126100664
128,145,146,0.14539796502384952
145,146,163,0.366405412353485
146,163,164,0.06761602502943723
163,164,181,0.366405412353485
164,181,182,0.14539796502384952
181,182,199,0.500065126100664
182,199,200,0.366405412353485
199,200,217,0.7252611098245162
200,217,218,0.6747189599516226
217,218,235,0.9399105413732366
218,235,236,0.9399105413732366
235,236,253,0.9861170115889198
236,253,254,0.973911558424427
253,254,271,0.7195123317004269
254,271,272,0.6349030390711875
271,272,289,0.13281114733993968
272,289,290,-0.026850064537320337
289,290,307,-0.5579179251017381
290,307,308,-0.7100653425729437
2,3,21,-0.6374745282184209
2,20,21,-0.42683293812894835
20,21,39,0.13281114733994145
20,38,39,0.3438428633026369
38,39,57,0.7955273481733803
38,56,57,0.8903502763850095
56,57,75,0.9962587731268502
56,74,75,0.9766863095312832
74,75,93,0.7252611098245162
74,92,93,0.6747189599516219
92,93,111,0.22137262311331699
92,110,111,0.22137262311331699
110,111,129,-0.2527016665624138
110,128,129,-0.1722214580045824
128,129,147,-0.5621181146744824
128,146,147,-0.4111543421461787
146,147,165,-0.7001551404959907
146,164,165,-0.4879002265314794
164,165,183,-0.7001551404959907
164,182,183,-0.4111543421461787
182,183,201,-0.5621181146744824
182,200,201,-0.1722214580045824
200,201,219,-0.2527016665624138
200,218,219,0.22137262311331699
218,219,237,0.22137262311331699
218,236,237,0.6747189599516219
236,237,255,0.7252611098245162
236,254,255,0.9766863095312832
254,255,273,0.9962587731268502
254,272,273,0.8903502763850095
272,273,291,0.7955273481733803
272,290,291,0.3438428633026369
290,291,309,0.13281114733994145
290,308,309,-0.42683293812894835
3,4,21,-0.3803517624264542
4,21,22,0.1860826603459788
21,22,39,0.445642213824493
22,39,40,0.8615326985001605
39,40,57,0.9580875508414837
40,57,58,0.9604719039070568
57,58,75,0.8856674334417155
58,75,76,0.500065126100664
75,76,93,0.3664054123534842
76,93,94,-0.1722214580045824
93,94,111,-0.2527016665624138
94,111,112,-0.7001551404959901
111,112,129,-0.7001551404959901
112,129,130,-0.9489727469008727
129,130,147,-0.9134097851703865
130,147,148,-0.9999098639444861
147,148,165,-0.9757895506470775
148,165,166,-0.9956239482862392
165,166,183,-0.9757895506470775
166,183,184,-0.9999098639444861
183,184,201,-0.9134097851703865
184,201,202,-0.9489727469008727
201,202,219,-0.7001551404959901
202,219,220,-0.7001551404959901
219,220,237,-0.2527016665624138
220,237,238,-0.1722214580045824
237,238,255,0.3664054123534842
238,255,256,0.500065126100664
255,256,273,0.8856674334417155
256,273,274,0.9604719039070568
273,274,291,0.9580875508414837
274,291,292,0.8615326985001605
291,292,309,0.445642213824493
292,309,310,0.1860826603459788
4,5,23,0.13281114733994145
4,22,23,0.445642213824493
22,23,41,0.8615326985001605
22,40,41,0.973911558424427
40,41,59,0.9399105413732366
40,58,59,0.813992616737126
58,59,77,0.3664054123534842
58,76,77,0.14539796502384864
76,77,95,-0.4111543421461787
76,94,95,-0.5621181146744824
94,95,113,-0.9134097851703865
94,112,113,-0.9489727469008727
112,113,131,-0.979438081475241
112,130,131,-0.979438081475241
130,131,149,-0.7832393982898328
130,148,149,-0.8530170466697405
148,149,167,-0.6006758934973532
148,166,167,-0.7832393982898328
166,167,185,-0.6006758934973532
166,184,185,-0.8530170466697405
184,185,203,-0.7832393982898328
184,202,203,-0.979438081475241
202,203,221,-0.979438081475241
202,220,221,-0.9489727469008727
220,221,239,-0.9134097851703865
220,238,239,-0.5621181146744824
238,239,257,-0.4111543421461787
238,256,257,0.14539796502384864
256,257,275,0.3664054123534842
256,274,275,0.813992616737126
274,275,293,0.9399105413732366
274,292,293,0.973911558424427
292,293,311,0.8615326985001605
292,310,311,0.445642213824493
5,6,23,0.3438428633026369
6,23,24,0.7955273481733803
23,24,41,0.9580875508414837
24,41,42,0.9604719039070568
41,42,59,0.8139926167371265
42,59,60,0.3664054123534842
59,60,77,0.06761602502943723
60,77,78,-0.4879002265314794
77,78,95,-0.7001551404959901
78,95,96,-0.9757895506470775
95,96,113,-0.999909863944486
96,113,114,-0.8530170466697405
113,114,131,-0.7832393982898334
114,131,132,-0.3618875915214844
131,132,149,-0.36188759152148486
132,149,150,0.08643420371208098
149,150,167,-0.0728928940401565
150,167,168,0.2520918446883737
167,168,185,-0.0728928940401565
168,185,186,0.08643420371208098
185,186,203,-0.36188759152148486
186,203,204,-0.3618875915214844
203,204,221,-0.7832393982898334
204,221,222,-0.8530170466697405
